date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2013-07-18,2272.95,2245.33,2282.44,2241.93,57144292,51937235147.00,1.77,-1.64,-37.51,0.17
2013-08-02,2263.50,2247.26,2274.71,2244.25,60890893,58459999450.00,1.36,0.08,1.90,0.19
2013-08-19,2286.20,2331.43,2340.19,2284.08,72483224,67064925390.00,2.44,1.18,27.29,0.22
2013-09-02,2319.96,2320.34,2329.87,2297.45,79510249,73575869316.00,1.40,0.28,6.43,0.24
2013-09-17,2480.81,2427.32,2481.71,2426.46,99459982,93115107921.00,2.23,-2.06,-51.07,0.30
2013-10-11,2442.36,2468.51,2471.17,2439.63,93388261,91811541654.00,1.30,1.61,39.19,0.29
2013-10-28,2372.57,2365.95,2377.25,2351.86,62876152,56602098405.00,1.07,-0.11,-2.61,0.19
2013-11-12,2319.36,2340.00,2342.53,2316.60,52687545,49854763423.00,1.12,1.04,24.11,0.16
2013-11-27,2386.36,2414.48,2422.81,2383.78,75294088,70744775407.00,1.63,1.13,27.06,0.23
2013-12-12,2406.77,2410.01,2423.31,2402.77,50147719,47481447335.00,0.85,-0.11,-2.75,0.15
2013-12-27,2268.53,2303.48,2315.18,2264.39,53389157,51197946376.00,2.24,1.68,38.15,0.16
2014-01-14,2192.84,2212.85,2214.12,2179.91,54049947,46785099888.00,1.56,0.87,19.17,0.17
2014-01-29,2225.71,2227.78,2233.06,2219.93,50222717,48788682770.00,0.59,0.36,7.93,0.15
2014-02-20,2314.09,2287.44,2331.70,2286.20,106439533,91771595713.00,1.97,-0.92,-21.22,0.33
2014-03-07,2170.04,2168.36,2189.39,2161.44,64265177,58693177974.00,1.29,-0.24,-5.27,0.20
2014-03-24,2161.90,2176.55,2186.73,2150.87,104491984,81203913733.00,1.66,0.82,17.75,0.32
2014-04-09,2239.79,2238.62,2246.79,2228.99,66357268,61178630422.00,0.80,0.06,1.30,0.20
2014-04-24,2192.77,2190.47,2209.45,2186.76,45058911,41927012945.00,1.03,-0.19,-4.20,0.14
2014-05-13,2180.06,2174.85,2185.05,2167.77,64912518,50241276089.00,0.79,-0.24,-5.20,0.20
2014-05-28,2147.47,2169.35,2171.17,2142.01,50056260,45627619375.00,1.36,1.03,22.07,0.15
2014-06-13,2150.99,2176.24,2183.65,2150.57,59252876,51765511450.00,1.54,1.06,22.83,0.18
2014-06-30,2152.31,2165.12,2168.22,2152.31,54304188,50277570814.00,0.74,0.69,14.86,0.17
2014-07-14,2149.54,2171.76,2171.90,2145.28,66158863,60467088864.00,1.24,1.11,23.75,0.20
2014-07-29,2326.04,2331.37,2342.77,2316.22,134269641,112176546316.00,1.14,0.32,7.47,0.41
2014-08-13,2358.46,2358.90,2370.51,2335.69,110447789,94185266458.00,1.48,0.08,1.85,0.34
2014-08-28,2328.06,2311.28,2336.36,2309.64,70490655,66195966855.00,1.15,-0.70,-16.31,0.22
2014-09-15,2433.00,2437.19,2439.25,2418.96,122247159,112507690398.00,0.83,-0.05,-1.17,0.37
2014-09-30,2452.17,2450.99,2454.89,2444.20,115804229,101906558841.00,0.44,0.13,3.19,0.35
2014-10-22,2434.89,2418.64,2447.47,2417.56,88656193,82251744245.00,1.23,-0.61,-14.75,0.27
2014-11-06,2505.17,2506.07,2510.99,2482.98,149651117,118839203631.00,1.12,0.10,2.62,0.46
2014-11-21,2537.54,2583.46,2585.36,2530.03,151028139,143750813260.00,2.18,1.83,46.36,0.46
2014-12-08,3108.27,3252.88,3270.88,3075.70,484462344,515773683037.00,6.25,4.10,127.99,1.48
2014-12-23,3358.80,3324.92,3431.78,3316.91,369736093,377227774057.00,3.38,-2.05,-69.56,1.13
2015-01-09,3547.57,3546.72,3689.75,3536.40,349982672,430210592272.00,4.31,-0.35,-12.54,1.07
2015-01-26,3580.12,3607.99,3611.62,3559.38,239766203,309585710088.00,1.46,1.02,36.26,0.73
2015-02-10,3345.08,3406.94,3407.18,3339.55,159309088,199120680699.00,2.02,1.82,61.02,0.49
2015-03-04,3514.67,3530.82,3540.91,3497.17,199663981,257468790961.00,1.25,0.65,22.92,0.61
2015-03-19,3851.25,3839.74,3859.13,3809.71,391547630,463212821639.00,1.28,-0.16,-6.31,1.20
2015-04-03,4104.67,4170.54,4170.56,4092.38,321303766,466965600575.00,1.90,1.11,45.76,0.98
2015-04-21,4520.46,4619.16,4620.06,4504.56,490314991,685365027867.00,2.55,2.15,97.24,1.50
2015-05-07,4520.82,4470.09,4546.34,4467.46,297759203,427189953161.00,1.73,-1.83,-83.24,0.91
2015-05-21,4768.69,4840.98,4841.62,4746.03,305054537,505346105539.00,2.01,1.81,86.06,0.93
2015-06-05,5254.90,5230.55,5288.34,5104.18,545961196,855224403052.00,3.55,0.95,49.13,1.67
2015-06-23,4641.42,4786.09,4786.96,4455.33,365087944,536984113004.00,7.15,3.21,149.04,1.12
2015-07-08,3651.06,3663.04,3762.62,3612.25,581467097,640122398881.00,3.83,-6.75,-264.96,1.78
2015-07-23,4158.93,4250.81,4262.06,4148.82,354471759,483972220006.00,2.72,2.25,93.65,1.09
2015-08-07,3866.43,3906.94,3926.65,3857.91,183349153,246546119056.00,1.79,1.96,75.09,0.56
2015-08-24,3454.60,3275.53,3468.15,3266.55,255436652,273124228208.00,5.62,-8.75,-314.01,0.78
2015-09-10,3349.28,3357.56,3398.32,3337.31,144882971,168108269695.00,1.79,-1.23,-41.75,0.44
2015-09-25,3272.67,3231.95,3290.86,3201.91,121419278,137602168790.00,2.71,-1.61,-53.05,0.37
2015-10-19,3548.95,3534.18,3572.99,3502.50,207606744,254890985147.00,1.99,0.00,0.11,0.64
2015-11-03,3484.72,3465.49,3501.70,3452.62,101401876,132231502584.00,1.41,-0.30,-10.47,0.31
2015-11-18,3760.46,3715.58,3771.85,3706.31,185689495,254137953313.00,1.74,-1.14,-42.81,0.57
